iter	Passed	Remaining
424	2073	2804
425	2078	2800
426	2083	2795
427	2088	2790
428	2092	2785
429	2097	2780
430	2101	2774
431	2107	2770
432	2111	2765
433	2116	2759
434	2120	2754
435	2125	2749
436	2130	2744
437	2134	2739
438	2140	2735
439	2145	2730
440	2150	2725
441	2155	2720
442	2159	2715
443	2164	2710
444	2168	2705
445	2173	2700
446	2178	2695
447	2183	2689
448	2187	2684
449	2192	2679
450	2196	2674
451	2201	2668
452	2205	2663
453	2210	2658
454	2215	2653
455	2219	2648
456	2224	2643
457	2229	2638
458	2233	2633
459	2238	2628
460	2244	2624
461	2249	2619
462	2254	2614
463	2258	2609
464	2263	2604
465	2268	2599
466	2273	2594
467	2278	2589
468	2282	2584
469	2287	2579
470	2292	2574
471	2297	2569
472	2301	2564
473	2306	2559
474	2311	2554
475	2316	2550
476	2321	2545
477	2326	2540
478	2331	2535
479	2336	2531
480	2340	2525
481	2346	2521
482	2350	2515
483	2354	2510
484	2359	2505
485	2364	2500
486	2368	2495
487	2372	2489
488	2378	2485
489	2382	2480
490	2387	2474
491	2391	2469
492	2396	2464
493	2400	2459
494	2405	2454
495	2410	2449
496	2415	2444
497	2420	2439
498	2424	2434
499	2428	2428
500	2433	2423
501	2438	2418
502	2443	2414
503	2448	2409
504	2453	2404
505	2458	2399
506	2462	2394
507	2467	2389
508	2471	2384
509	2476	2379
510	2481	2374
511	2486	2369
512	2491	2365
513	2496	2360
514	2501	2356
515	2506	2350
516	2510	2345
517	2515	2340
518	2520	2335
519	2524	2330
520	2528	2325
521	2533	2319
522	2538	2314
523	2542	2309
524	2548	2305
525	2553	2300
526	2557	2295
527	2562	2290
528	2568	2286
529	2573	2282
530	2578	2277
531	2583	2272
532	2588	2267
533	2593	2262
534	2598	2258
535	2602	2253
536	2607	2248
537	2612	2243
538	2617	2238
539	2622	2233
540	2626	2228
541	2631	2223
542	2636	2218
543	2640	2213
544	2645	2208
545	2650	2203
546	2655	2198
547	2659	2193
548	2664	2188
549	2669	2183
550	2674	2179
551	2678	2174
552	2684	2169
553	2689	2165
554	2694	2160
555	2698	2155
556	2703	2150
557	2708	2145
558	2713	2140
559	2718	2135
560	2723	2130
561	2727	2125
562	2732	2120
563	2737	2116
564	2742	2111
565	2746	2106
566	2751	2101
567	2756	2096
568	2761	2091
569	2765	2086
570	2770	2081
571	2775	2076
572	2779	2071
573	2784	2066
574	2788	2061
575	2793	2056
576	2798	2051
577	2802	2046
578	2806	2040
579	2811	2035
580	2816	2031
581	2820	2026
582	2825	2021
583	2830	2016
584	2835	2011
585	2840	2006
586	2845	2002
587	2850	1997
588	2855	1992
589	2860	1987
590	2865	1982
591	2869	1977
592	2875	1973
593	2880	1968
594	2885	1963
595	2890	1959
596	2894	1954
597	2899	1949
598	2904	1944
599	2909	1939
600	2914	1934
601	2919	1929
602	2924	1925
603	2929	1920
604	2933	1915
605	2938	1910
606	2943	1905
607	2950	1902
608	2955	1897
609	2959	1892
610	2964	1887
611	2969	1882
612	2974	1877
613	2979	1873
614	2984	1868
615	2989	1863
616	2995	1859
617	3000	1854
618	3005	1849
619	3011	1845
620	3016	1840
621	3021	1836
622	3027	1832
623	3032	1827
624	3038	1823
625	3043	1818
626	3048	1813
627	3053	1808
628	3058	1804
629	3063	1799
630	3069	1794
631	3074	1790
632	3079	1785
633	3084	1780
634	3089	1775
635	3093	1770
636	3098	1765
637	3103	1760
638	3107	1755
639	3113	1751
640	3118	1746
641	3123	1741
642	3128	1736
643	3133	1732
644	3138	1727
645	3143	1722
646	3147	1717
647	3152	1712
648	3157	1707
649	3162	1702
650	3166	1697
651	3171	1692
652	3177	1688
653	3181	1683
654	3186	1678
655	3190	1673
656	3195	1668
657	3199	1663
658	3204	1658
659	3209	1653
660	3213	1648
661	3218	1643
662	3223	1638
663	3227	1633
664	3233	1628
665	3238	1623
666	3243	1619
667	3247	1614
668	3253	1609
669	3259	1605
670	3264	1600
671	3269	1595
672	3274	1590
673	3278	1585
674	3283	1580
675	3288	1576
676	3293	1571
677	3298	1566
678	3302	1561
679	3307	1556
680	3313	1551
681	3318	1547
682	3323	1542
683	3327	1537
684	3332	1532
685	3337	1527
686	3342	1522
687	3347	1517
688	3352	1513
689	3357	1508
690	3362	1503
691	3367	1498
692	3372	1494
693	3377	1489
694	3382	1484
695	3386	1479
696	3391	1474
697	3396	1469
698	3401	1464
699	3406	1460
700	3411	1455
701	3416	1450
702	3421	1445
703	3425	1440
704	3435	1437
705	3444	1434
706	3452	1430
707	3458	1426
708	3464	1421
709	3469	1417
710	3475	1412
711	3480	1407
712	3485	1402
713	3489	1397
714	3494	1392
715	3499	1388
716	3504	1383
717	3508	1378
718	3513	1373
719	3518	1368
720	3523	1363
721	3527	1358
722	3532	1353
723	3537	1348
724	3541	1343
725	3546	1338
726	3551	1333
727	3556	1328
728	3561	1323
729	3566	1319
730	3571	1314
731	3576	1309
732	3581	1304
733	3585	1299
734	3590	1294
735	3595	1289
736	3599	1284
737	3604	1279
738	3608	1274
739	3613	1269
740	3618	1264
741	3622	1259
742	3627	1254
743	3632	1249
744	3636	1244
745	3641	1239
746	3646	1234
747	3651	1230
748	3655	1225
749	3660	1220
750	3666	1215
751	3671	1210
752	3676	1205
753	3681	1201
754	3686	1196
755	3690	1191
756	3694	1186
757	3699	1181
758	3703	1176
759	3708	1171
760	3713	1166
761	3717	1161
762	3722	1156
763	3726	1151
764	3731	1146
765	3735	1141
766	3740	1136
767	3745	1131
768	3749	1126
769	3754	1121
770	3759	1116
771	3764	1111
772	3768	1106
773	3773	1101
774	3777	1096
775	3782	1091
776	3787	1086
777	3791	1081
778	3796	1076
779	3801	1072
780	3807	1067
781	3811	1062
782	3816	1057
783	3820	1052
784	3825	1047
785	3830	1042
786	3834	1037
787	3839	1032
788	3844	1028
789	3849	1023
790	3854	1018
791	3865	1015
792	3873	1011
793	3883	1007
794	3892	1003
795	3902	1000
796	3912	996
797	3921	992
798	3930	988
799	3939	984
800	3944	979
801	3949	975
802	3955	970
803	3960	965
804	3965	960
805	3970	955
806	3975	950
807	3980	945
808	3985	940
809	3990	936
810	3995	931
811	4000	926
812	4007	921
813	4013	917
814	4018	912
815	4024	907
816	4033	903
817	4041	899
818	4049	895
819	4058	890
820	4066	886
821	4075	882
822	4084	878
823	4092	874
824	4101	870
825	4110	865
826	4118	861
827	4125	857
828	4131	852
829	4135	847
830	4140	841
831	4145	836
832	4149	831
833	4154	826
834	4159	821
835	4164	816
836	4168	811
837	4173	806
838	4179	801
839	4183	796
840	4188	791
841	4193	786
842	4198	781
843	4203	776
844	4207	771
845	4212	766
846	4217	761
847	4222	756
848	4226	751
849	4233	747
850	4237	742
851	4244	737
852	4249	732
853	4254	727
854	4262	722
855	4267	717
856	4271	712
857	4276	707
858	4280	702
859	4285	697
860	4290	692
861	4295	687
862	4299	682
863	4304	677
